# Constructed from biom file
#OTU ID	Bact89	Bact1z3z2R	Bact5z5z2	Bact3z5z2	Bact183	Bact3z1z2R	Bact1z2z2R	Bact3z4z2	Bact128	Bact3z5z2R	Bact3z3z2	Bact90	Bact197	Bact5z5z2R	Bact127	Bact175zFB	Bact5z1z2	Bact1z5z2	Bact101	Bact5z3z2	Bact3z4z2R	Bact198	Bact1z1z2	Bact180	Bact177	Bact192	Bact5z2z2R	Bact5z1z2R	Bact5z2z2	Bact181	Bact3z3z2R	Bact176	Bact86	Bact194	Bact3z2z2R	Bact5z3z2R	Bact5z4z2	Bact1z3z2	Bact105	Bact5z4z2R	Bact182	Bact196	Bact130	Bact87	Bact184	Bact102	Bact193	Bact103	Bact1z1z2R	Bact126	Bact195	Bact1z4z2	Bact3z1z2	Bact1z5z2R	Bact3z2z2	Bact1z4z2R	Bact190	Bact104	Bact88	Bact179	Bact191	Bact1z2z2	Bact178
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosotaleales;D_4__Nitrosotaleaceae;D_5__uncultured Thermoprotei archaeon	5.0	0.0	4.0	3.0	0.0	9.0	0.0	5.0	10.0	2.0	5.0	11.0	2.0	0.0	5.0	4.0	9.0	0.0	4.0	3.0	2.0	0.0	2.0	0.0	0.0	2.0	6.0	15.0	9.0	0.0	2.0	0.0	4.0	13.0	2.0	2.0	15.0	0.0	4.0	0.0	0.0	0.0	12.0	5.0	0.0	1.0	2.0	8.0	0.0	2.0	4.0	0.0	3.0	4.0	2.0	3.0	0.0	10.0	4.0	0.0	3.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Acidicapsa	0.0	5.0	10.0	0.0	9.0	0.0	6.0	2.0	0.0	8.0	7.0	3.0	33.0	18.0	2.0	0.0	0.0	0.0	0.0	8.0	6.0	11.0	0.0	16.0	0.0	17.0	0.0	0.0	0.0	6.0	0.0	2.0	13.0	2.0	0.0	4.0	0.0	0.0	0.0	10.0	2.0	19.0	0.0	10.0	14.0	0.0	9.0	0.0	2.0	2.0	54.0	3.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	8.0	10.0	2.0	2.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Acidipila	7.0	50.0	57.0	54.0	64.0	51.0	155.0	31.0	3.0	36.0	24.0	22.0	121.0	113.0	54.0	4.0	12.0	69.0	12.0	74.0	16.0	82.0	19.0	174.0	42.0	61.0	61.0	26.0	59.0	74.0	23.0	44.0	27.0	32.0	45.0	43.0	37.0	21.0	6.0	141.0	32.0	69.0	10.0	92.0	125.0	16.0	73.0	24.0	13.0	41.0	315.0	81.0	25.0	74.0	30.0	87.0	62.0	26.0	31.0	65.0	96.0	10.0	16.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Bryocella	0.0	0.0	5.0	0.0	0.0	6.0	8.0	1.0	0.0	0.0	0.0	13.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	5.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Edaphobacter	0.0	38.0	3.0	19.0	10.0	6.0	107.0	20.0	0.0	43.0	0.0	0.0	20.0	230.0	0.0	2.0	0.0	3.0	0.0	2.0	25.0	55.0	2.0	36.0	0.0	19.0	48.0	0.0	67.0	15.0	0.0	9.0	32.0	9.0	12.0	14.0	13.0	6.0	0.0	271.0	0.0	101.0	0.0	9.0	29.0	0.0	21.0	0.0	0.0	2.0	58.0	4.0	5.0	1.0	2.0	19.0	8.0	0.0	13.0	15.0	58.0	2.0	9.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Granulicella	5.0	27.0	19.0	16.0	76.0	45.0	137.0	15.0	0.0	28.0	20.0	23.0	112.0	86.0	79.0	28.0	2.0	31.0	11.0	18.0	11.0	147.0	5.0	94.0	18.0	36.0	18.0	2.0	20.0	67.0	26.0	20.0	2.0	7.0	20.0	10.0	3.0	2.0	1.0	87.0	16.0	103.0	3.0	15.0	136.0	3.0	122.0	0.0	2.0	79.0	149.0	62.0	20.0	64.0	33.0	54.0	32.0	0.0	8.0	72.0	33.0	2.0	8.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Occallatibacter	0.0	69.0	39.0	36.0	120.0	13.0	114.0	12.0	2.0	27.0	55.0	37.0	209.0	85.0	69.0	80.0	0.0	17.0	6.0	44.0	11.0	275.0	12.0	127.0	10.0	194.0	51.0	2.0	26.0	59.0	13.0	36.0	44.0	88.0	26.0	15.0	8.0	38.0	0.0	205.0	26.0	125.0	3.0	42.0	200.0	12.0	511.0	39.0	3.0	71.0	439.0	42.0	0.0	42.0	21.0	28.0	119.0	0.0	34.0	127.0	172.0	0.0	21.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Telmatobacter	0.0	24.0	6.0	5.0	20.0	0.0	6.0	9.0	0.0	6.0	37.0	0.0	38.0	58.0	0.0	0.0	0.0	3.0	0.0	28.0	13.0	6.0	0.0	28.0	3.0	33.0	0.0	0.0	4.0	12.0	0.0	6.0	20.0	5.0	4.0	20.0	2.0	7.0	6.0	2.0	7.0	29.0	0.0	10.0	43.0	5.0	2.0	0.0	0.0	9.0	21.0	5.0	0.0	14.0	0.0	5.0	2.0	0.0	30.0	32.0	32.0	2.0	10.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Terracidiphilus	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	0.0	2.0	2.0	6.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	6.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	3.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	7.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__Terriglobus	3.0	0.0	3.0	0.0	5.0	4.0	2.0	0.0	0.0	2.0	0.0	4.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	2.0	2.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	6.0	0.0	5.0	2.0	0.0	0.0	0.0	11.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
