feature	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.fragilis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Parabacteroides.merdae	Prevotella.copri	Alistipes.putredinis	Eubacterium.rectale	Eubacterium.siraeum	Roseburia.intestinalis	Faecalibacterium.prausnitzii	Subdoligranulum.unclassified	Escherichia.coli	Akkermansia.muciniphila
CSM5FZ4M	2.99e-05	0	0.130632	0	0	0	0.190863	0	0.0199315	0.325812	3.62e-05	0	0	0.0587475	0	0.0028149	0	0.0936191	0.0156577	0.0010136	0
CSM5MCUO	0.025743	0.0003977	0.0057939	0	0.0062334	0	0.0344354	0.0836427	0.0006236	0.0677076	0.169157	0.0026058	0	0.047193	0.0377607	0	0.067003	0.160706	0.0320903	0.0026399	0
CSM5MCVL	0	0	3.04e-05	0	0.260366	0	2.46e-05	0	0.129383	0	0.314003	0	0	0	0.0145548	0	0	0.0001213	0	0.0112689	0
CSM5MCVN	0	0	6.2e-06	0	0.149041	1.25e-05	0	0	0.0832982	0	0.423798	0	0	0	0.018187	0	0	0	7.68e-05	0.0001853	0
CSM5MCW6	0	0	0.797928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0095345	0	0
CSM5MCWC	1.44e-05	0	3.17e-05	0	0	0	6.6e-05	0.0002643	0	0.000198	0.0005533	0	0	8.15e-05	0.0001344	0	0.718226	0.0004805	0.0518636	0.0504913	0
CSM5MCWE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259999	0	0.0386629	0.216984	0
CSM5MCWG	0	0	0	0	0	0	0	0	0	1.95e-05	0	0	0	0	0	0	0	0	5.32e-05	0.806009	0
CSM5MCWQ	8.17e-05	9.64e-05	0.0672288	0	0.0113786	0	0.122942	0.000105	0.0040688	0.217201	0.0008374	5.4e-05	0	0.114866	1.34e-05	0.0197896	0	0.122649	0.0606285	0	0
CSM5MCX3	0.0242821	0.0015386	0.0040416	0	0.0077786	0	0.0336512	0.0701398	0.0011342	0.0465973	0.179288	0.0075155	0	0.0298645	0.0815114	0	0.0638985	0.146862	0.0256008	0.0355164	0
CSM5MCXD	0.0232205	0	0	0	0.0143431	0	0	0	0.143841	0.394913	0.0826526	0	0	0	0	0	0	0.055412	0.0159726	0.0010821	0.0308464
