feature	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.fragilis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Parabacteroides.merdae	Prevotella.copri	Alistipes.putredinis	Eubacterium.rectale	Eubacterium.siraeum	Roseburia.intestinalis	Faecalibacterium.prausnitzii	Subdoligranulum.unclassified	Escherichia.coli	Akkermansia.muciniphila
CSM5FZ4M	3.56309793609638e-05	0	0.155670437989345	0	0	0	0.227446007149553	0	0.0237518015094665	0.388260891222553	4.31385101293274e-05	0	0	0.0700077244149906	0	0.00335443624759789	0	0.111563218056589	0.0186588356367947	0.00120787828362117	0
CSM5MCUO	0.0346132281342901	0.000534734911587895	0.00779029571096079	0	0.00838123358786016	0	0.0463007557819809	0.112463343699957	0.000838472946608528	0.091037509428787	0.227443181894578	0.00350367672269484	0	0.0634542234914949	0.0507718495750491	0	0.0900901264297806	0.216080233094403	0.0431476080797813	0.00354952651018578	0
CSM5MCVL	0	0	4.16579879191835e-05	0	0.356786963242307	0	3.37100823293393e-05	0	0.177297218781175	0	0.430287275677216	0	0	0	0.0199448579791491	0	0	0.000166220853111742	0	0.0154420953967923	0
CSM5MCVN	0	0	9.19056336671089e-06	0	0.220930766893219	1.85293616264332e-05	0	0	0.123476997650477	0	0.628216511884733	0	0	0	0.0269594799919953	0	0	0	0.000113844397832806	0.000274679256750246	0
CSM5MCW6	0	0	0.988192021301299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0118079786987012	0	0
CSM5MCWC	1.75096211720503e-05	0	3.85454854968051e-05	0	0	0	8.02524303718971e-05	0.000321374505262006	0	0.000240757291115691	0.000672782874617737	0	0	9.90995920501456e-05	0.000163423130939136	0	0.87332397054979	0.000584262012025705	0.0630633325429685	0.0613946899641904	0
CSM5MCWE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.504220047129241	0	0.0749795547681073	0.420800398102651	0
CSM5MCWG	0	0	0	0	0	0	0	0	0	2.41910962623268e-05	0	0	0	0	0	0	0	0	6.59982728797838e-05	0.999909810630858	0
CSM5MCWQ	0.000110116691345205	0.000129929608882225	0.090612154456653	0	0.015336276427669	0	0.165703381485462	0.000141520839550142	0.00548399992344396	0.292747313058384	0.00112866239085037	7.27821460543586e-05	0	0.154818407197777	1.80607547616371e-05	0.0266727695843951	0	0.165308470952241	0.0817161544825311	0	0
CSM5MCX3	0.0319829351288591	0.00202655223350792	0.00532335467759366	0	0.0102455083865623	0	0.0443233553361639	0.092383964869231	0.00149390065205036	0.0613751867869743	0.236147469674488	0.00989896874491666	0	0.0393357397488608	0.107361958745845	0	0.0841632964336448	0.193437874767607	0.0337198481863964	0.046780085627298	0
CSM5MCXD	0.0304617718897948	0	0	0	0.0188159703879122	0	0	0	0.188697561654571	0.518065921160807	0.108427667246547	0	0	0	0	0	0	0.0726921342760625	0.0209536270832642	0.00141955097271579	0.0404657953283248
CSM5MCXH	0.0560969382133948	0.0380462474412798	0.0075477561520028	0	0	0	0.0838644620537048	0.160409695093459	0.000181390576276839	0.248368791007389	0.250934610117028	0.0356115020479984	0	0	0.0225966998046161	0	0	0.0611181746542505	0.0277856969725606	7.57592450699132e-05	0.00736227662096957
CSM5MCXJ	0.125381542675848	0.00347471358170131	0.00142811192726679	0	0	0	0.0739680404298997	0.182390456564154	0.000430529577438619	0.21408423129907	0.202686527222668	0.0282677789738192	0	0	0.07587132105395	0	0	0.0252444416648851	0.0254166534958605	0	0.0413556515334387
CSM5MCXL	0.0733494060218795	0.0116403656747689	0.00977198242978577	0	0	0	0.0686163543420248	0.24165956763128	0.000289731257413908	0.0983032366373656	0.257110352409167	0.0310953433077249	0	0	0.0627565570865257	0	0	0.0409975537806386	0.0420523893128432	0	0.062357160108583
CSM5MCXN	0.0161821354365465	0	3.53807859847118e-05	0	1.81863853192444e-05	0	0.00758416356019324	0.063327749194536	0.00629326086407815	0.1647895928906	0.0427495786545183	0.0136046286444827	0	0.0477870971674319	0.169695508106113	0.000892235085813837	0	0.354566177004671	0.112429336248739	4.49699709712224e-05	0
CSM5MCXP	0.0770633870499225	0.00401585010970153	0.0115842949559418	0	0	0	0.0760442019439495	0.137094018487138	0.000292226938084563	0.130768644165969	0.249103090328977	0.0419684453119406	0	0	0.101167568863977	0	0	0.0607415229447627	0.0250922814250196	0	0.0850644674746179
CSM5MCXR	0.0739901121962137	0.000526125679773389	0.0102087742741221	0	0	0	0.0808471241592457	0.175773329521809	0.000159668821904183	0.156202527246044	0.263637834256298	0.0386209605625008	0	0	0.130318450076435	0	0	0.00972358632735701	0.0259448422946731	0.00600513389496171	0.0280415306886625
CSM5MCXT	0.0620958315067594	0.0864840266822434	0.000285365516449154	0	0	0	0.000681517327271567	0.0334438396350227	0.0739842451900473	0.109291700994148	0.254238654109979	0.0168806075629354	0	0.0881495669459102	0.0289475733374621	0.125068191461419	0.0112315281448267	0.071024117131988	0.0381932344535387	0	0
CSM5MCXV	0.026476815754559	0.107865460664078	5.19509776406534e-05	0	0	0	0.000719757181130507	0.0237192814754739	0.0100220520093044	0.112405739969063	0.299851597309553	0.0285543825785702	0	0.0989591739700099	0.00150988432288335	0.130272979954125	0.00106511311203712	0.117927538540246	0.0405982721813259	0	0
CSM5MCY2	0.0262178811872356	0.123771151777786	0.000134386413935906	0	0	0	0.000644801878328909	0.0202870604161771	0.0227142928745541	0.0934521283175281	0.301073849760358	0.0212517916272551	0	0.128206248312985	0.0168200288867563	0.0739435664429882	0.00349002321700612	0.106432545377544	0.0611119056016488	0.000448337907912773	0
CSM5MCY4	0	0.0175879007094127	0	0	0.0042238413551871	0	0	0.170753382088628	0.0218413375897564	0.19463777076906	0	0.151138267893894	0	0.0890942089556059	0.00570825691155497	0.000739088249856622	0.0029390756117675	0.108391931140012	0.204069944624373	0.0199288267613937	0.00894616733949827
CSM5MCY8	0	0.00928660582016569	0	0	0.00203307157616576	0	0	0.191647329363166	0.0282570663120092	0.234893837768582	5.01348243801473e-05	0.174827792100632	0	0.080033109873601	0.0205645041961804	0.00063260399929672	0.0158050033858414	0.0559663052201145	0.14876621330627	0.0369199461746955	0.00031647607889968
CSM5MCYS	0.486196277550997	0	0	0	0.0386040950202934	0	0	0	0.169385240321391	0.139401240718905	0.00810237818665247	0	0	0	0	0	0	0.00012945975457938	0.05766086318357	0.00271317442381884	0.0978072708397931
CSM5MCYW	0	0	0.985279849743585	0	0	0	0	0	0	8.34443567571543e-06	6.40682942559168e-05	0	0	0	0	0	0	0.000115832081667982	0.014531905444815	0	0
CSM5MCZ3	0	0	0.958315768630731	0	0	0	0	0	0	0	2.53403165221614e-05	0	0	0	0	0	0	9.11465648549061e-05	0.0415677444878918	0	0
CSM5MCZ5	0	0	0.972283096537893	0	0	0	0	0	0	0	2.91725240085453e-05	0	0	0	0	0	0	0.000161774905865569	0.0275259560322326	0	0
CSM5MCZ7	0	0	0.98839278741926	0	0	0	0	0	0	0	1.60643167645276e-05	0	0	0	0	0	0	0.00021969440612229	0.0113714538578531	0	0
CSM5MCZB	0.0773458959637491	0.00380519501509824	0.002826156256695	0	0	0	0.124090669466038	0.382360429089728	0.000368644028453909	0.0997876743364723	0.0780810060864092	0.0315968969251351	0	0.000711267474053639	0.113555199113053	0	0	0.0563492342784383	0.0240108080560183	0	0.00511092391065747
CSM5MCZD	0.0218646844374231	0	4.80645575000991e-06	0	0	0	0.0204048114263286	0.037836419664078	0.00864552435735928	0.266668026541952	0.051885924282613	0.0177503583154146	0	0.0609136204874121	0.175530591684081	0.012719874835203	0	0.2258412880176	0.0999340694947852	0	0
CSM5MCZF	0.0317481294431444	0	6.32536360110179e-06	0	0	0	0.0150012774975416	0.0346293325634462	0.0100314619067402	0.348911574353633	0.0440063452433153	0.0147498442943978	0	0.0661086340535437	0.0940904612839178	0.0158686429813427	0	0.231222536909061	0.0936254341063153	0	0
