feature	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.fragilis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Parabacteroides.merdae	Prevotella.copri	Alistipes.putredinis	Eubacterium.rectale	Eubacterium.siraeum	Roseburia.intestinalis	Faecalibacterium.prausnitzii	Subdoligranulum.unclassified	Escherichia.coli	Akkermansia.muciniphila
CSM5FZ4M	-14.7765083361863	-18.2834338608467	-2.68343309405076	-18.782078740052	-19.4380342458813	-19.2776077026074	-2.13640398677396	-19.9786304014895	-5.39581924769087	-1.36490170023645	-14.5006641233012	-17.9620589036327	-19.6661795210308	-3.83634207685449	-18.4935756725152	-8.21971395970763	-18.4096126936759	-3.16406664006858	-5.74399722895663	-9.69330920124356	-18.9633046776506
CSM5MCUO	-4.85253269189598	-10.8688885095634	-7.00410619223656	-18.782078740052	-6.89862168272905	-19.2776077026074	-4.43282044652643	-3.15247324882137	-10.2199481436708	-3.4573951003188	-2.1364219075399	-8.15691461819355	-19.6661795210308	-3.97813999722214	-4.29982737260364	-19.4080185362601	-3.47248718952215	-2.21036099363407	-4.53457560504222	-8.13815769580986	-18.9633046776506
CSM5MCVL	-18.6045910938922	-18.2834338608467	-14.551047315546	-18.782078740052	-1.48686519378073	-19.2776077026074	-14.8564603236503	-19.9786304014895	-2.49575818968335	-19.5700576575035	-1.21662791690373	-17.9620589036327	-19.6661795210308	-17.8961542934108	-5.64783933927554	-19.4080185362601	-18.4096126936759	-12.554610993869	-15.1871830259024	-6.01698765909559	-18.9633046776506
CSM5MCVN	-18.6045910938922	-18.2834338608467	-16.7314152702202	-18.782078740052	-2.17833375200479	-15.719827295945	-19.0813179960903	-19.9786304014895	-3.01768578559904	-19.5700576575035	-0.670666231965686	-17.9620589036327	-19.6661795210308	-17.8961542934108	-5.21306352041388	-19.4080185362601	-18.4096126936759	-18.6516873321745	-13.1006490798859	-11.8299644145798	-18.9633046776506
CSM5MCW6	-18.6045910938922	-18.2834338608467	-0.0171366874277007	-18.782078740052	-19.4380342458813	-19.2776077026074	-19.0813179960903	-19.9786304014895	-19.1569825732931	-19.5700576575035	-19.0633484534383	-17.9620589036327	-19.6661795210308	-17.8961542934108	-18.4935756725152	-19.4080185362601	-18.4096126936759	-18.6516873321745	-6.40409416584727	-15.876377910962	-18.9633046776506
CSM5MCWC	-15.801492603636	-18.2834338608467	-14.6630785749389	-18.782078740052	-19.4380342458813	-19.2776077026074	-13.6050953908325	-11.6034568954368	-19.1569825732931	-12.0201328901114	-10.5375713966355	-17.9620589036327	-19.6661795210308	-13.3007613559599	-12.5791001822996	-19.4080185362601	-0.195411155806286	-10.7410968894172	-3.98705477940812	-4.02574230769084	-18.9633046776506
CSM5MCWE	-18.6045910938922	-18.2834338608467	-19.4037146125444	-18.782078740052	-19.4380342458813	-19.2776077026074	-19.0813179960903	-19.9786304014895	-19.1569825732931	-19.5700576575035	-19.0633484534383	-17.9620589036327	-19.6661795210308	-17.8961542934108	-18.4935756725152	-19.4080185362601	-0.987874615883721	-18.6516873321745	-3.73735893090987	-1.24879202537965	-18.9633046776506
CSM5MCWG	-18.6045910938922	-18.2834338608467	-19.4037146125444	-18.782078740052	-19.4380342458813	-19.2776077026074	-19.0813179960903	-19.9786304014895	-19.1569825732931	-15.3351643253593	-19.0633484534383	-17.9620589036327	-19.6661795210308	-17.8961542934108	-18.4935756725152	-19.4080185362601	-18.4096126936759	-18.6516873321745	-13.8872122036077	-0.0001301216234841	-18.9633046776506
CSM5MCWQ	-13.1486792122292	-12.909982144145	-3.46415160751396	-18.782078740052	-6.02690794366326	-19.2776077026074	-2.59332505115401	-12.7866978678214	-7.51055573368481	-1.7722721656814	-9.79117027763462	-13.7460558833241	-19.6661795210308	-2.69135108339086	-15.7567822899171	-5.22848855392906	-18.4096126936759	-2.59676743990225	-3.61323487654451	-15.876377910962	-18.9633046776506
CSM5MCX3	-4.96655384628043	-8.94675692395698	-7.55344859317627	-18.782078740052	-6.60886461649682	-19.2776077026074	-4.49578909034577	-3.43621372570046	-9.38670007599947	-4.02620067969597	-2.08224001782626	-6.65850604877179	-19.6661795210308	-4.66801547455821	-3.21944519700769	-19.4080185362601	-3.570664977833	-2.37005779547241	-4.89025814878613	-4.41796168734122	-18.9633046776506
CSM5MCXD	-5.0368563273234	-18.2834338608467	-19.4037146125444	-18.782078740052	-5.73189849496218	-19.2776077026074	-19.0813179960903	-19.9786304014895	-2.40585231429975	-0.948792409947001	-3.20519516193733	-17.9620589036327	-19.6661795210308	-17.8961542934108	-18.4935756725152	-19.4080185362601	-18.4096126936759	-3.78205692542143	-5.57665619300456	-9.46034963090518	-4.62715323881819
CSM5MCXH	-4.15593415949139	-4.71610202421497	-7.04973647062397	-18.782078740052	-19.4380342458813	-19.2776077026074	-3.57579659818454	-2.6401667545873	-12.4286128735828	-2.00944419301811	-1.99461662692775	-4.81151290174302	-19.6661795210308	-17.8961542934108	-5.46774410400049	-19.4080185362601	-18.4096126936759	-4.03225473305985	-5.16951376067057	-13.6882185198095	-7.08563232790349
CSM5MCXJ	-2.99560310918674	-8.16889022230484	-9.4516752306559	-18.782078740052	-19.4380342458813	-19.2776077026074	-3.75695413353102	-2.45489785128256	-11.1816000251835	-2.22374955915663	-2.30267790028596	-5.14469765606918	-19.6661795210308	-17.8961542934108	-3.72030153196029	-19.4080185362601	-18.4096126936759	-5.30789042033616	-5.29808210053149	-15.876377910962	-4.59577169273299
CSM5MCXL	-3.76907090666759	-6.42471980945902	-6.6771330150483	-18.782078740052	-19.4380342458813	-19.2776077026074	-3.86530371372472	-2.04895198073023	-11.7529970425993	-3.34661727164423	-1.9595403942114	-5.00715764446287	-19.6661795210308	-17.8961542934108	-3.99408998358795	-19.4080185362601	-18.4096126936759	-4.60831835940564	-4.57166841659843	-15.876377910962	-4.00330096396094
CSM5MCXN	-5.94945418766612	-18.2834338608467	-14.7866743765596	-18.782078740052	-15.7467816494361	-19.2776077026074	-7.04279420690598	-3.98101838596596	-7.31197653887405	-2.60130296134206	-4.54794598909859	-6.19975861283249	-19.6661795210308	-4.3872350562005	-2.55897971809638	-10.130288498492	-18.4096126936759	-1.49587317454178	-3.15290956699419	-14.4406785217104	-18.9633046776506
CSM5MCXP	-3.69781059380139	-7.9600788624914	-6.43168594829266	-18.782078740052	-19.4380342458813	-19.2776077026074	-3.71701793716479	-2.86676246824285	-11.7406232046603	-2.93491144341912	-2.00518517537753	-4.57455116906453	-19.6661795210308	-17.8961542934108	-3.30518121333071	-19.4080185362601	-18.4096126936759	-4.04117310877491	-5.31661254123058	-15.876377910962	-3.55529956436399
CSM5MCXR	-3.75652370333875	-10.8923049109678	-6.61404653166876	-18.782078740052	-19.4380342458813	-19.2776077026074	-3.62865973376269	-2.50821191112735	-12.6126297504292	-2.67851029943667	-1.92337067075851	-4.6944721430024	-19.6661795210308	-17.8961542934108	-2.93988674429327	-19.4080185362601	-18.4096126936759	-6.68429576687806	-5.26840842327114	-7.3795878709637	-5.15629108662201
CSM5MCXT	-4.00935976619816	-3.53142249349145	-11.7749013693802	-18.782078740052	-19.4380342458813	-19.2776077026074	-10.51896204218	-4.90211569928154	-3.75663810560216	-3.19374423998143	-1.97574470241522	-5.88848935964789	-19.6661795210308	-3.50390270776781	-5.11041377699186	-2.9992131787327	-6.47630195776408	-3.81554719672448	-4.71053908776437	-15.876377910962	-18.9633046776506
CSM5MCXV	-5.23912656352608	-3.21269511797364	-14.2324895756625	-18.782078740052	-19.4380342458813	-19.2776077026074	-10.4402021016938	-5.39779588256667	-6.64067826002861	-3.15321238661087	-1.73767943682626	-5.13014399973361	-19.6661795210308	-3.33702273184468	-9.37134626040659	-2.94039021073975	-9.87477763589195	-3.08402743784003	-4.62243786060259	-15.876377910962	-18.9633046776506
CSM5MCY2	-5.2533050917125	-3.01425300034318	-12.8613250862099	-18.782078740052	-19.4380342458813	-19.2776077026074	-10.5988564330597	-5.62329635524902	-5.46025579665185	-3.41962866889495	-1.73181068891515	-5.55627171733386	-19.6661795210308	-2.96346151943236	-5.89367600649176	-3.75743156056486	-8.1625476508208	-3.23198872341568	-4.03240272169061	-11.1231258921045	-18.9633046776506
CSM5MCY4	-18.6045910938922	-5.82927289666703	-19.4037146125444	-18.782078740052	-7.88722863566246	-19.2776077026074	-19.0813179960903	-2.55001394082781	-5.51679497843374	-2.36113639292029	-19.0633484534383	-2.72605910075942	-19.6661795210308	-3.48852452887542	-7.45273401700234	-10.4019657417963	-8.41042180987876	-3.20567073060852	-2.29286437667299	-5.64899941062343	-6.80451454022452
CSM5MCY8	-18.6045910938922	-6.75063288516613	-19.4037146125444	-18.782078740052	-8.9421232771717	-19.2776077026074	-19.0813179960903	-2.38347420079987	-5.14524449893712	-2.08991922886513	-14.2838274057978	-2.51599354884389	-19.6661795210308	-3.64325922017052	-5.60369990044723	-10.626409703006	-5.9834748454696	-4.15929768264445	-2.74888118558021	-4.75945574008347	-11.625615923046
